I3 to I20,I8 to 20,I3 & I8 to I20
0.257124247,0.088391508,0.119014321
0.12336718,0.108200623,0.119300822
0.078978653,0.134683054,0.081302428
0.13384105,0.120411173,0.125251417
0.20070309,0.256635282,0.307918492
0.141955555,0.290635117,0.172384827
0.171503453,0.30395149,0.163300298
0.149101058,0.053988771,0.092566502
0.314002489,0.225881656,0.21254117
0.213963,0.154751545,0.09957845
0.271978127,0.088614195,0.103004714
0.232413532,0.120544691,0.129988463
0.147396884,0.195852594,0.083511159
0.26840033,0.214507907,0.212312595
0.285797494,0.242355748,0.184970041
0.184753334,0.147401639,0.090401486
0.101522479,0.184988831,0.062229721
0.082807187,0.111648905,0.076367985
0.056024938,0.085922824,0.115053837
0.167742412,0.16263632,0.099561994
0.060054678,0.08400095,0.158170429
0.166360171,0.201268393,0.070055078
0.235269982,0.367937773,0.192536614
0.149672682,0.0726257,0.074429445
0.78790102,0.356949545,0.255223995
0.075445284,0.19226364,0.140005168
0.22327572,0.076000777,0.100040831
0.419059332,0.280218639,0.315114178
0.157193696,0.161632232,0.08858008
0.083023681,0.17655952,0.119763859
0.465098794,0.111339734,0.099076881
0.304776039,0.185924883,0.217005629
0.189967894,0.081952368,0.120354142
0.07178761,0.107959351,0.103918165
0.202816796,0.283262777,0.235124636
0.176364256,0.123673391,0.123273106
0.220332514,0.130045605,0.104214283
0.258035913,0.254029137,0.19611684
0.220122877,0.214776933,0.239469772
0.1700897,0.139948889,0.078211439
0.156446302,0.265601735,0.187966151
0.182850395,0.136030253,0.176438143
0.169798711,0.155300442,0.125919547
0.105055729,0.25276461,0.220949604
0.232199265,0.232035148,0.164592191
0.063747593,0.106395508,0.132923416
0.295836984,0.244255772,0.186228107
0.181405942,0.165546658,0.156621616
0.088952758,0.079921182,0.071044772
0.053529641,0.064471175,0.092892344
0.634225749,0.142500618,0.146214515
0.146016111,0.110639583,0.041521544
0.368228815,0.136124744,0.11257427
0.396492924,0.15687216,0.14581026
0.148881011,0.120941199,0.115545104
0.063271988,0.125151259,0.100431868
0.129874698,0.154550933,0.1932342
0.554237761,0.110350937,0.131528716
0.145604414,0.094712151,0.112493216
0.26308384,0.143598745,0.067748735
0.182348529,0.452235738,0.253474784
0.080721411,0.20772397,0.146244402
0.11115998,0.252129988,0.062041635
0.236892012,0.197820662,0.200640336
0.057079365,0.130153852,0.051881698
0.143199496,0.217044005,0.075845573
0.230857265,0.087051844,0.126880193
0.101348323,0.042784751,0.05450183
0.146328333,0.209334932,0.172131421
0.34565358,0.458373846,0.36031814
0.407929138,0.30602591,0.217034137
